Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q6,Q7,Q8,Q17_1,Q17_2,Q17_3,Q17_4,Q18,Q9
"For this survey, we are defining a “paper laboratory notebook” as a bound, paper notebook with numbered pages in which dated notes on methodology and results of experiments are kept.
Have you used a paper laboratory notebook in a previous laboratory class or research project?","When thinking of using a paper laboratory notebook, how easy have you found the following to be? - Ability to record observations and data","When thinking of using a paper laboratory notebook, how easy have you found the following to be? - Ability to locate previous experimental data/results","When thinking of using a paper laboratory notebook, how easy have you found the following to be? - Access to protocols","When thinking of using a paper laboratory notebook, how easy have you found the following to be? - Ease of producing publication-quality figures","When thinking of using a paper laboratory notebook, how easy have you found the following to be? - Ability to contribute to sustainable practices in the lab","When thinking of using a paper laboratory notebook, how easy have you found the following to be? - Overall ease of use","For this survey, we are defining an “electronic laboratory notebook” as a computer-based file system in which dated notes on methodology and results of experiments are kept.
Have you used an electronic laboratory notebook in a previous laboratory class or research project?","When thinking of using an electronic laboratory notebook, how easy have you found the following to be? - Ability to record observations and data","When thinking of using an electronic laboratory notebook, how easy have you found the following to be? - Ability to locate previous experimental data/results","When thinking of using an electronic laboratory notebook, how easy have you found the following to be? - Access to protocols","When thinking of using an electronic laboratory notebook, how easy have you found the following to be? - Ease of producing publication-quality figures","When thinking of using an electronic laboratory notebook, how easy have you found the following to be? - Ability to contribute to sustainable practices in the lab","When thinking of using an electronic laboratory notebook, how easy have you found the following to be? - Overall ease of use","If given a choice, which style of laboratory notebook would you prefer to use?",Which of the following items do you regularly include in a laboratory notebook entry?,"Which of the following items do you think SHOULD be included in a laboratory notebook entry as ""best practice,"" such as in an industrial setting?","Thinking of the last time you used a laboratory notebook for class or a research project, how often did you access your laboratory notebook outside of the lab space?","Having used ELN's during this semester, how would you judge your increase in confidence in the following skills: - Understanding of the purpose of each experiment performed.","Having used ELN's during this semester, how would you judge your increase in confidence in the following skills: - Recording observations of experimental procedures while performing them.","Having used ELN's during this semester, how would you judge your increase in confidence in the following skills: - Documenting and annotating experimental data.","Having used ELN's during this semester, how would you judge your increase in confidence in the following skills: - Summarizing experimental results and their implications.",Do you think use of electronic laboratory notebooks helped or hindered your learning experience in the laboratory?,"Having used ELN's during this semester, do you think use of electronic laboratory notebooks in place of paper laboratory notebooks contributes to sustainable practices in the laboratory?"
"{""ImportId"":""QID1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID18""}","{""ImportId"":""QID9""}"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Yes,Somewhat easy,Somewhat easy,Somewhat difficult,Extremely difficult,Neither easy nor difficult,Somewhat easy,No,Extremely easy,Extremely easy,Extremely easy,Neither easy nor difficult,Neither easy nor difficult,Somewhat easy,Electronic,"Title,Description of experimental procedures,Raw data,Explanation of how data does or does not fit hypothesis","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,References for original sources of protocols,Signature of researcher",Weekly,No change,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Unsure
Yes,Somewhat easy,Somewhat difficult,Somewhat difficult,Extremely difficult,Neither easy nor difficult,Somewhat difficult,Yes,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Daily,No change,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Somewhat easy,Somewhat difficult,Neither easy nor difficult,Neither easy nor difficult,Somewhat easy,No,Extremely easy,Extremely easy,Somewhat easy,Somewhat difficult,Extremely easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Signature of researcher","Title,Purpose or goal,Description of experimental procedures,Description of data,Explanation of how data does or does not fit hypothesis,References for original sources of protocols,Signature of researcher,Signature of supervisor",Not applicable because notebook had to stay in the lab.,No change,No change,Increase in confidence,Increase in confidence,Helped,Unsure
Yes,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,No,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,Yes,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Somewhat difficult,Somewhat difficult,,Neither easy nor difficult,Somewhat easy,No,Somewhat difficult,Extremely easy,Extremely easy,Neither easy nor difficult,Somewhat easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Monthly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
